dataset_row_number,record_id,document_name,record_type,court_family,judgment_number,actions,substantive_action_count,old_record_sha256,new_record_sha256,hash_refreshed
318,zimlex-2022-be0c117799de15999dcb,Sanganayi Inn (Pvt) Ltd v The Crystal Club Lashers Bar & Night Club (817 of 2022) [2022] ZWHHC 817 (16 November 2022) Copy.docx,law_report_draft,High Court,HH 817-22,,0,9ea7d882a3c3426e2cb81d5f5f2a320990a0d3385266ff0fb049eee5936f963d,aa6c72676e83f67da1ebe825a244e411c47cf08284c9fac7ec4780115af615d4,True
319,zimlex-2022-5806f0d49175e43cc25a,Zimbabwe Revenue Authority v Trustus (Pvt) Ltd (820 of 2022) [2022] ZWHHC 820 (16 November 2022) Copy.docx,law_report_draft,High Court,HH 820-22,,0,51a0cae91edabe8664cc2361f8756e7a2e0cf85932a1b4151f79b9977b47e5cf,241ccd04b4d4bd4b65f00113bf94017aa072fb109931c872158b7cc5610ad969,True
320,zimlex-2022-c8da7b7e30da0ed341b3,S v Chiwaya (821 of 2022) [2022] ZWHHC 821 (18 November 2022) Copy.docx,law_report_draft,High Court,HH 821-22,,0,83108ea2086f17051428b941d7105f140988f4cf38795db31f48fa9aff8bd763,a9a10bde364fef12c5ca87eb76d040d9e4657b3a0fa873c0a7d22af393fe9bfe,True
321,zimlex-2022-212cd12cb1dfbbe31945,Kadungure v Pervaiz (822 of 2022) [2022] ZWHHC 822 (16 November 2022) Copy.docx,law_report_draft,High Court,HH 822-22,,0,d560aae6d7012ed81d5dcdc93819d868e03b19724d2b851b921f3c01f7b825c6,2370594b918bea8b387725ff009ebddc5d40ba0c5a9cdca850a5114bcda87ce7,True
322,zimlex-2022-9f04f5b50fea5a2e3067,EARTHR~1.DOC,law_report_draft,High Court,HH 823/22,,0,885f665f30784c0fd473f0b070653f40bc31fc33737e399a3d6734b8a14601b1,93d7e22f38c15b9f6def0dd86b68e4ac7f05498ad97bde47472f61700e402eab,True
323,zimlex-2022-8da3bb259cf1641fa707,Sakunda Holdings (Pvt) Ltd v Mutare Toyota and Another (826 of 2022) [2022] ZWHHC 826 (16 November 2022) Copy.docx,law_report_draft,High Court,HH 826/22,,0,cf7e5b610ccb0563cc6b6a4e5173208a942579a42889c284776495c59254471e,a7b0927db7f2cf524b6cf8115020541545bd869d52613b68f136ef5e4d9cc695,True
324,zimlex-2022-c8d92b3c089440032dec,Mujokoro v Chikwature (827 of 2022) [2022] ZWHHC 827 (16 November 2022) Copy.docx,law_report_draft,High Court,HH 827-22,,0,2c762d3921a99899b73ff877ef1ba783c09866da2e110d757ea58bf15c7b4968,f6a3d8e4337e8583e54de0e9098d5a6a9500e97294fc4a80a3b89182bbddf827,True
325,zimlex-2022-7544a17928b0f5d767f8,Mahanda (nee Samukange) v Zimbodza N.O and 5 Others (828 of 2022) [2022] ZWHHC 828 (16 November 2022) Copy.docx,law_report_draft,High Court,HH 828-22,,0,90a289a0dcc89c744df0bea9a26f5f91b9826f048cc99c5fae1f5c9d8dae4408,9904b541bb9617740a342fec9873c486e1690c0e1dae7273a640a5faaac2f981,True
326,zimlex-2022-f3cf6719c439a7e2620b,Zimbabwe National Road Administration v Kufa (829 of 2022) [2022] ZWHHC 829 (16 November 2022) Copy.docx,law_report_draft,High Court,HH 829-22,,0,ae8f844beb6e3e8f3159c8982a978268c607d46184ba32d2ddc9681d3bcf2246,cb3792b324b29d59f6e86af86f7410b49cfeb5e7ba10ccded27302c73ea46025,True
327,zimlex-2022-ee4f2d71b5a315a8b6d0,Damson v Dzipange and Another (830 of 2022) [2022] ZWHHC 830 (16 November 2022) Copy.docx,law_report_draft,High Court,HH 830-22,,0,63dda3e2bf09edfe01d596460682a3868554262fe5f8ad562332a248d4976276,9f029a1afe36ad996c0aeef4b11a0b89b6461c5099dca88925a19da3974db051,True
328,zimlex-2022-36afd465e76233b00441,S v Sigauke and Another (831 of 2022) [2022] ZWHHC 831 (7 November 2022) Copy.docx,law_report_draft,High Court,HH 831-22,,0,d6f385ac7e41574c53514b557c408b84b3808ef788fc5ca7b941a833b67403d8,e1041f5680438470e83445354c6dabd1fc3079a53030a08064dad7c37514704f,True
329,zimlex-2022-4c6b2868e0b61e390bd7,Hilmax Engineering (Private) Limited v Zimbabwe Revenue Authority (832 of 2022) [2022] ZWHHC 832 (17 November 2022) Copy.docx,law_report_draft,High Court,HH 832-22,,0,1f30daf85b0e7eaa23102b736a960d09ca8f24865bc92b792332ffbbe138b693,294b7268e0c3eddac7ba9a0ba96c40b5682ee8657af33a569ab00ae8a1b92c79,True
330,zimlex-2022-d5ab93c7b174bf95c448,S v Madzima (833 of 2022) [2022] ZWHHC 833 (22 November 2022) Copy.docx,law_report_draft,High Court,HH 833-22,,0,3a9f1b62f05b81ac1d7851cfe41ec2a17b74f896ae4b3a06d8baa2dff99adf39,76088b57c9712b62237b05a7bbf4b982a34bf2b3143cc3ce2dcb748113527c31,True
331,zimlex-2022-694a9b0eea543a749d6c,HARRIS~1.DOC,law_report_draft,High Court,HH 834/22,,0,80976c804db8aaedffcd59c2743def4e8562fb951f2bf61ee6f381e9951eed86,ba9f902922b1afa86c32072536f94bc44bf12dcdb8c41de5dca2b09a665d4019,True
332,zimlex-2022-2fb4583219a499b8e7ea,S v Mandiko (836 of 2022) [2022] ZWHHC 836 (18 November 2022) Copy.docx,law_report_draft,High Court,HH 836-22,,0,45c9f96c1048dd1660ea15aad54d743ea30bc686e05295e71f1236d133624c62,659441665cfa75aac5c58abefbc921d6f64ecbf5d8cd89558a9f3c2ed6e3a8fc,True
333,zimlex-2022-b62dfc0b3e1385451e5a,MIRACL~1.DOC,law_report_draft,High Court,HH 837-22,,0,c41a26b5e6c70171e9ff6dc167f8354c23948a6cab41688f541a89f1ee3cae90,0ebe54fbe02424d31fd954b58dafa0d0feb21c8d38b9ebf7a03cfe0b241dbe55,True
334,zimlex-2022-ce316e5ff7cb8c7b02b6,S v Kabisira (838 of 2022) [2022] ZWHHC 838 (17 November 2022) Copy.docx,law_report_draft,High Court,HH 839-22,,0,bf3169cf0d611f6cf9d05612876e60cc17cfa54b93644aedeb908f0d9fdc612a,57890e231694db8dbcd47fbf41396f607119e7bd605ea16ec039e3cef6e48415,True
335,zimlex-2022-98738328bd1de75f9bf5,MUCHEN~1.DOC,law_report_draft,High Court,HH 840-22,,0,736828922f47aa2b9de381e42327681a8eab6395661312e6a14ed3fa592efb38,56d48313601beab8af0d8b416942dc148e773740f95498a8d3948161728c2233,True
336,zimlex-2022-eae2dbe56531ad6b3a6c,Chingosho v Musariri (841 of 2022) [2022] ZWHHC 841 (18 November 2022) Copy.docx,law_report_draft,High Court,HH 841-22,,0,0ba1ab7ee0334c0b13d3e19507811850872b4735d07550c705d686eb0998933c,0dbb98cd177c588ae60d00a20843b5e0c1a8207033879cc8195b2edc8b0bb794,True
337,zimlex-2022-26aa6068da5d76e8231e,Katsimberis and Another v Sharpe and 5 Others (842 of 2022) [2022] ZWHHC 842 (16 November 2022) Copy(1).docx,law_report_draft,High Court,HH 842/22,,0,ef330b8ded9b321281d686ec219480585c7388fd385db389644241e9ec54187f,7e49cd936504b00d2494ab44401101c30183389eee9358b42d3dcf9c85741273,True
338,zimlex-2022-b88492a78134761a0f1d,Tobacco Industry and Marketing Board v Muvirimi (843 of 2022) [2022] ZWHHC 843 (21 September 2022) Copy.docx,law_report_draft,High Court,HH 843-22,,0,6469f32feaba66eb1472bdacf84870fa1bc5743cf72edd65c035a171fb988581,3c7428b375e1bb82a4dbe35f5035efdc79205b459b33bcecb9a758340c783e1f,True
339,zimlex-2022-d14d6346916420625adc,BRIGHT~1.DOC,law_report_draft,High Court,HH 844-22,,0,870ac9dddc88810fa04d6b520d80caefd3fc6ea7f493b07a12cc82af53b88b1e,8ae07e38de55719c6582793ef0311f8910560f0e8a2f688548161d2ff4975bf4,True
340,zimlex-2022-ef0a2aa2f9f19a287c1e,ZIMBAB~4.DOC,law_report_draft,High Court,HH 845-22,,0,2c1eb81538ff03084ab458cb15f5edfd5953e5b5019bb69a3d079c2f5774ebe8,2b39979e1709c0d48da38690194e2d115dde63ec7dbecce6f23305fffb0b06ab,True
341,zimlex-2022-bb95b49cfc067ea23604,S v Chinyemba (846 of 2022) [2022] ZWHHC 846 (21 November 2022) Copy.docx,law_report_draft,High Court,HH 846-22,,0,09b904b9f1167e7cddecad14f287314d31c30b05c351e9e767cf4ed59034528c,f4d292b20ba2a786358572dcb6b6287625b4c3339d1b6b2330b5908b5d240f9c,True
342,zimlex-2022-172f68e76882017ef2e4,EASTRI~1.DOC,law_report_draft,High Court,HH 847/22,,0,c3c9be7994626144f70211619586081c6ade0de6429584c497d3f075eae8ba44,bb0be6921a7d9824c5711c2ea64d0a68676b4a68a90d36a17ff6b2eac8a8af1b,True
343,zimlex-2022-c66ecab2570c9f6ff565,S v Chiweza (848 of 2022) [2022] ZWHHC 848 (22 November 2022) Copy.docx,law_report_draft,High Court,HH 848-22,,0,830b8f4f8ad19d384893f7eaf28ab187a1d526e07e0c9ee00f7bc9cf2e141800,5a51fbcc3b99da0a7341c83a3aeca5da646e21e28f1f2413e3eaa4e15a3ae61f,True
344,zimlex-2022-44fcbf314ae491f857fc,S v Scenara (849 of 2022) [2022] ZWHHC 849 (23 November 2022) Copy.docx,law_report_draft,High Court,HH 849-22,,0,e34e10768903fe741c225f7f9112220bf437b14972e5dac5a428f6fb7b15ec4b,2da2a1de1f5cc80e63fe26cd819cd4834adb2fedf8c26932d89b2a18337cdfa5,True
345,zimlex-2022-7af2319cc57d250b9332,S v Jasina and Another (850 of 2022) [2022] ZWHHC 850 (23 November 2022) Copy.docx,law_report_draft,High Court,HH 850-22,,0,6e81a65457d6f55401902d41ea258e9a9158f8edc27ec2129f33fab02f894b02,5a65458c3945927aa6b0a41f6e71c14e33b3f80791e86411a198d21c051caaf2,True
346,zimlex-2022-14cf0043e52827fabc7f,Merystake (Private) Limited v Zimbabwe Revenue Authority (851 of 2022) [2022] ZWHHC 851 (22 November 2022) Copy.docx,law_report_draft,High Court,HH 851-22,,0,c86350b5347869e93b944d56958902873bfd896009d8b7bd860032a04dc7628f,4918c20b9fd4994f54041392e86a879336974b93d53203ecb5b3070b286572db,True
347,zimlex-2022-c7dc0222e925d04cdf2d,Masomera v Beverly East Properties (Private) Limited and 4 Others (854 of 2022) [2022] ZWHHC 854 (22 November 2022) Copy.docx,law_report_draft,High Court,HH 854/22,,0,3fca8f3715803183054784d06a25ee1f2c1fbae71216bce8ee531b1b1d08aad6,64ae0cfd7d715ee4a0a793da4f57b4cf8400d96e9818825b4074abcfd0c9b04c,True
348,zimlex-2022-2a6d70efb4583a76f935,Chaurura v City of Harare and Another (855 of 2022) [2022] ZWHHC 855 (22 November 2022) Copy(1).docx,law_report_draft,High Court,HH 855-22,,0,ec54460fc961e88e3698f9ebd4c526ad98cfb00e98ae3f47cf07aca99607d02a,c29933281b7c4b371bc4b3f9293451c48eb74f83f2cb3eaec30aecd4b74df6a1,True
349,zimlex-2022-dacb9ea35615289ba000,Baron v Baron and Another (856 of 2022) [2022] ZWHHC 856 (23 November 2022) Copy.docx,law_report_draft,High Court,HH 856/22,,0,b110ef05f86b1bef52be6d27aaec0765e23900b9e65a38904bd4091dd0417c79,ceb1df31659f630a247687cfb5a5a48bbfb485ffa324d9a53e601960ab087119,True
350,zimlex-2022-0caa6a98d9c7f2105355,Ready v Ready (857 of 2022) [2022] ZWHHC 857 (30 November 2022) Copy.docx,law_report_draft,High Court,HH 857-22,,0,d613f91f4b1b75123f01a498d91e4ee4b70d8066e659038f291dcbaa4a31076a,ccb7091b40b4726141018576691357b5477c3422e0c05e477b2853a0d02c7ddf,True
351,zimlex-2022-145ca7aa06bad10d7d6c,Hiten v Barry N.O and 3 Others (858 of 2022) [2022] ZWHHC 858 (23 November 2022) Copy.docx,law_report_draft,High Court,HH 858-22,,0,10d95d9fc67f9dd0c05296b2a68a87cab6de2398836c0208870e5b7b53fcd1b2,14d2616007cd8a538561d62c5642ee0e6e8bcbe4762ad9597f617a70188317dd,True
352,zimlex-2022-6c85851524e93b7e2336,AIRCRA~1(1).DOC,law_report_draft,High Court,HH 859-22,,0,eeeb6e066e2e658a3853c08ea62376618e26719aabe20c54cbdc723d9616fbbd,d9569b636ea250ecb8411d485148fd5ad91fb162f35ad0410081ed60a472d7ec,True
353,zimlex-2022-66884ab835e077118743,Danzvara and 9 Others v City of Zimbabwe and Other (860 of 2022) [2022] ZWHHC 860 (23 November 2022) Copy.docx,law_report_draft,High Court,HH 860-22,,0,b1ad925c28d31729a6c048536a5bec3f535b35c83931f4702e96af2543be67fa,ec0e741a133ec54d08aa87ddb18830d576150e37f2cffad5f41c61062719d8ce,True
354,zimlex-2022-9f22fefbc998edf65e9b,S v Silas (861 of 2022) [2022] ZWHHC 861 (23 November 2022) Copy.docx,law_report_draft,High Court,HH 861-22,,0,d215b28b7f65d93650e3d0ab1f3fa9dc819ed1a0910f349fba2125a4c60db9a5,6f160a776202e27ff8faffa3e5320ba3b636d88f656d7910a00580c91a791d62,True
355,zimlex-2022-938fdf1324f1b9711f79,FINWOO~1(1).DOC,law_report_draft,High Court,HH 863-22,,0,d9ec18263903ac9c02e81d3c2cd48d0b6a1d606bd2b2ca03f20f15e2832c1be6,f84eaa33307166e6e6574110b2c58045f4e147c99d1b1696570a52051acdc3b6,True
356,zimlex-2022-c32ddd95b42e3e8abb38,Matsvimbo and Another v Ndoro and 2 Others (865 of 2022) [2022] ZWHHC 865 (1 December 2022) Copy.docx,law_report_draft,High Court,HH 865-22,,0,0e21805e4296c9326ff988f49fcbd79e89678539183b369f33f5173d4811381e,7abce0006788eb3b06d1bcc188f2bb1e2306727727d48a76ddab76a7dbb6441f,True
357,zimlex-2022-f3c09dc45d6f36e9332b,S v Kagonye (866 of 2022) [2022] ZWHHC 866 (1 December 2022) Copy.docx,law_report_draft,High Court,HH 866-22,,0,1598ecc438460b2cb7895bab296d0606ee9118276950a48e07361cf56e84b716,2bb54d38bf359936b4ac5ba0a07af1c53969f996af05db772528528352a200e8,True
358,zimlex-2022-cde1b15d8ed57c6dffb2,S v Sadiqi (867 of 2022) [2022] ZWHHC 867 (30 November 2022) Copy.docx,law_report_draft,High Court,HH 867-22,,0,2a2fdaeaf54d1bd02d8291b196cc632748438eac1d16c137d6f16ee504629b8e,aca9b4e654f7792cc0b40341d113619b674b6910fb7e44ff2e7e279a7ad4ea94,True
359,zimlex-2022-d4eb58cb1e38cf673cfc,S v Chiramba (869 of 2022) [2022] ZWHHC 869 (24 November 2022) Copy.docx,law_report_draft,High Court,HH 869-22,,0,5c372606ef2136574d3482b011ecca53eb60ac1d7e68a2a9352666ad348bb142,9d0827e1aa3e02946ecddc16b88ff04c0a22f715cf6d822833861b473dd2d7c7,True
360,zimlex-2022-d56b17c0b0643c19e3db,S v Esau and Another (870 of 2022) [2022] ZWHHC 870 (28 November 2022) Copy.docx,law_report_draft,High Court,HH 870-22,,0,f5f8ad67aa749ea8dfb71be529e58222bb72b102baceb41a8507b9b7e116936b,9cf223a6fc9b914fb2d787a8f06fd8ff9f74f294fc062f2d3e7c90f1e73eb746,True
361,zimlex-2022-073ca0aef54a5bfdff46,S v Nyamande (871 of 2022) [2022] ZWHHC 871 (30 November 2022) Copy.docx,law_report_draft,High Court,HH 871-22,,0,a4d8ef8a90892870660294e6ecb4d025e51435c9a54957064b66699afc7f78c2,a2718035b232808489ea3465550c2fa1e10b96d990f4864c685ad104839f6ca2,True
362,zimlex-2022-2e5b31c403431e868577,PHIRIV~1.DOC,law_report_draft,High Court,HH 872-22,,0,392a57407fc5e30591770368147e6eff37da22a032f53208d8fc37aaab8d92ba,78fad9082c2e99ad57e0342f25833116782000d053a0dc13777cce2146769256,True
363,zimlex-2022-873b8e01adc32ee3424f,Bouckaert v Duckworth and 5 Others (873 of 2022) [2022] ZWHHC 873 (16 November 2022) Copy.docx,law_report_draft,High Court,HH 873-22,,0,77e765546cec0468f3f26972e124778af49ff95ebed744c520611878510a7cb6,ad22843d29b8a1db174d220b75ab02b79795b66fc9de670f8d6530ed7cd54c35,True
364,zimlex-2022-eb08e74a5e9901d1ea81,The Right Investments (Private) Limited v Muponda and 5 Others (874 of 2022) [2022] ZWHHC 874 (7 December 2022) Copy.docx,law_report_draft,High Court,HH 874-22,,0,d4ecc79a3df88dfa4441baa058f83484bb54b7e68e9dfd983bdf1014a6338bc9,d76c6b16fd646561ea28391359e59ea53edea862a91ba03fabb4afbb78ab51a9,True
365,zimlex-2022-33268a7a3c30b9b39d49,Banda and 9 Others v Takanhike and 47 Others (875 of 2022) [2022] ZWHHC 875 (7 December 2022) Copy.docx,law_report_draft,High Court,HH 875-22,,0,a3b93f574f85fc23658e4fee996ceac60ac741edf8a0ab8a44252846093f0094,2fa9090a1cea1da7e97a17c5563b775b05beccc34f0d3870512fbb057f5904ef,True
366,zimlex-2022-2f982d1038d84d6b5504,DELAFT~1.DOC,law_report_draft,High Court,HH 876-22,,0,69961b633326f29c8f8b593824c0b111efc3f95c4e6be2606eb9a0d14f7fa345,7686ebd8827c68039ccbd7d82c95077dc2380518f6cebb63515c71aaaa763048,True
367,zimlex-2022-bcbf161ea4ced3db0ab0,VOEDSE~1(2).DOC,law_report_draft,High Court,HH 877-22,,0,9ec16c25f858678fc8eb693554b81ad9318aa51f48a9ec773101d1bb7a9cde14,cede6cf0c75d5bf040824720d269a352a3855890534e7b86179dfc3f395adc96,True
368,zimlex-2022-245985ad479aeb28aeb7,The Sheriff for Zimbabwe v Masocha and Another (878 of 2022) [2022] ZWHHC 878 (8 December 2022) Copy.docx,law_report_draft,High Court,HH 878-22,,0,fff0c591a80d9f77ef4097b66fe86a0a49be6ec21afc85a2f6abf971fab4b7d2,8cb10ff80d985c08a0543f877cb1f5e7fc9207b349835e1e9947ed744f824432,True
369,zimlex-2022-8df7ff885c3eabb89ad5,Payloads (Pvt) Ltd v Zimbabwe Revenue Authority (879 of 2022) [2022] ZWHHC 879 (8 December 2022) Copy.docx,law_report_draft,High Court,HH 879-22,,0,4a46f972f1a940289bd6dcce3864b2e04fa1c0a662a09e5dd950e0aed070ce40,e847b3795c30fff279249adf130358573936e1d145a6e4bae6ba081f7a33c5be,True
370,zimlex-2022-24e487c5bf20e3d55ab0,Mahati v Nyarenda (880 of 2022) [2022] ZWHHC 880 (19 December 2022) Copy.docx,law_report_draft,High Court,HH 880-22,,0,684063302d4c89fbd304be4ec2603540b385820421e496c59e794bb0a81d9cd4,959ff7873278bd5692b2e14e6bfba9b9ce7861f0fc5b2889f254f2eb7f6fd64d,True
371,zimlex-2022-861ff86613a9df5fbacb,Savanhu v Ushewokunze and 14 Others (881 of 2022) [2022] ZWHHC 881 (14 December 2022) Copy.docx,law_report_draft,High Court,HH 881-22,,0,63bb952f5d17be7d1731c82cfee3f79c349526dda4d43465fa5aca3dc2747bfa,7ee8097a887e75db6e323040bb48f7fe96a4bd75daeb7058f074d24bb8ad0e20,True
372,zimlex-2022-9d9504bce57372168bf1,S v Fichani (882 of 2022) [2022] ZWHHC 882 (22 May 2022) Copy.docx,law_report_draft,High Court,HH 882-22,,0,30b5695d9c224024d4d34c4327a439efee739c9f04c73c930b0d8d363db36217,f810eeff1f48796a9dc0954c333e1b1ef99290fee1384537024d2578e9c05dbb,True
373,zimlex-2022-e3efb86107176916bee6,Kauma and Another v Vambe and Another (883 of 2022) [2022] ZWHHC 883 (19 December 2022) Copy(1).docx,law_report_draft,High Court,HH 883-22,,0,c5b442d499beac6a4489e87b4a3b31a9f831b33366f0dce0b5961efdecb265cb,6fdcfba2d21da61e68f723e71fa38aa41cbaf37a923b9617065c4823dd4e25f5,True
374,zimlex-2022-073525f5b31c6ee75faf,Nyamadzawo v Nyamadzawo nee Chikwiro (884 of 2022) [2022] ZWHHC 884 (19 December 2022) Copy(2).docx,law_report_draft,High Court,HH 884-22,,0,8a4cc7cd17ad3faa54ad50a3054e9ad4ddf496c8845e1654f7cb9531a7f774aa,ca0474b4ef1b28b2694512e476ba37d986af2bc6012eb3515f5c17b50d5f4c95,True
375,zimlex-2022-ad62bab1c36892e7bb45,Matonhodze v Minister of Justice N.O and 3 Others (885 of 2022) [2022] ZWHHC 885 (19 December 2022) Copy.docx,law_report_draft,High Court,HH 885-22,,0,edf1370fef89363ddd76c82624b8c2e37d544ee81b3639bcbf75b67f0623b909,996135a994d0f2fa90be9fc20315f38cc45eb8bf8833365deb8e4328295dc5a7,True
376,zimlex-2022-83f038eaf3bb7bdc379c,NMB Bank Limited v Tembo and Another (886 of 2022) [2022] ZWHHC 886 (21 December 2022) Copy(2).docx,law_report_draft,High Court,HH 886-22,,0,799f03363966c429729949ec8d30071a13261d24a3327169a28b7350c5320168,3ef0fe50387a00c3f88b699d7d79d6f9e8c3eb1a8c6740d43eff3a0dc82e4904,True
377,zimlex-2022-3bf35511a2db91bcede4,Shonhiwa v Matito and 3 Others (887 of 2022) [2022] ZWHHC 887 (21 December 2022) Copy(1).docx,law_report_draft,High Court,HH 887-22,,0,ba49385b89a617ba34ae1f879940f6ea9c55d9b4597385be5b8fd0982a9c1d61,e9dcd281441731b7bae17f26e9394c3907f536ce2cfc74c2345a6859016923e0,True
378,zimlex-2022-a59050c6b87db0652bad,Zungude v Rusike (888 of 2022) [2022] ZWHHC 888 (21 December 2022) Copy.docx,law_report_draft,High Court,HH 888-22,,0,9411ff8aad47218fed139166aa16c8822c2cee28874f93b23b72187041f1b9f8,91951ac774f942336cc5051156383c8a62b57d17a843c9ec9f3fdad94e5ea9f0,True
379,zimlex-2022-97839f3fda7785864a67,Kambamura v Kwashira and Another (889 of 2022) [2022] ZWHHC 889 (21 December 2022) Copy.docx,law_report_draft,High Court,HH 889-22,,0,a84e7cc7b4dac69ec8f42930ca211cc6b6b682f0915b3ff479a1d155384e313c,8890b29ee3f93a8df849657a124d6c77aecd3b53095022e545053670ab7f3bf4,True
380,zimlex-2022-6e6d0ec9afa2ebd89bef,MTETWA~1.DOC,law_report_draft,High Court,HH 891-22,,0,a9ffca0823e3daae56db0eeeb024f28929f9b177e1ffdb5807b16baf4875cd21,ac78e8227c63faaa79191919c381f40d24618d9533601cb1d49d4335df6f3257,True
381,zimlex-2022-59d10b6556789309626f,DAVIDL~1.DOC,law_report_draft,High Court,HH 892-22,,0,421d06265531372916328acb92d010ffaaac915d46d15a3fb191382270967b17,8007ee966c262b7057906d16d28632ec122d766f49635b4d238bef1d6a369134,True
382,zimlex-2022-5645f90c2ad82ea64769,Dhlakama v Jacaranda Real Estate (Private) Limited (862 of 2022) [2022] ZWHHC 862 (24 November 2022) Copy.docx,law_report_draft,High Court,HH862/22,,0,8a7b5dfef0608b29b758974c7436c7fdf14fbfc1d1bcc496e032cea44016ae2d,bb0759849bbf0612ab7f96ed6d2e266d96ff6f024340e9a0bf5f6218f32631a9,True
383,zimlex-2022-779d27e41970e3bd633f,Rushesha v Magaya and Another (380 of 2023) [2022] ZWHHC 2026 (8 July 2022) Copy.docx,law_report_draft,High Court,Not available,,0,68b8992b04fef3ebcbc8abcc41d89587a401dc1ddceda0c57185d65e9ef2b51c,ce6f207783906269d7bb70bb90d33e091868af9bf55eadba9af7a71f1653f6fa,True
384,zimlex-2022-2e87f95dd4c085b2ffe4,S v Tofarasei (8 of 2022) [2022] ZWMSVHC 80 (7 February 2022) Copy.docx,law_report_draft,High Court,HMA - 08-22,,0,d017adef07cde4365948261ca4501791a6cc7a328439ad8d82633b8cb58cd27d,77cefcaf399b5dbe45902d407a3f8ac4bf70717331fafb739286d71718147e12,True
385,zimlex-2022-b577e0ecec7b50b1165f,S v Chewiro and Another (1 of 2022) [2022] ZWMSVHC 1 (18 January 2022) Copy.docx,law_report_draft,High Court,HMA 01-22,,0,7d563c451289c014df349d49fd424cc06403bc3ce6d548bad20b964af38a1d07,ec684f358439e7ce8ce011eb754aa619355652e837f4a9b9e6641a1650743280,True
386,zimlex-2022-7f8beaa0d2a47fcf2216,MOYOAN~1(1).DOC,law_report_draft,High Court,HMA 02-22,,0,540a42af8b8f68e096457f0ec199b7fe7ac1b654d46b291632b09079ab00f840,9844dd4123e26c1ce3f6a492a3d7449cebb00f57059af35ed1e34621a5e99fce,True
387,zimlex-2022-c5c7a242af7a9d383eba,Mapisa v Zimbabwe Revenue Authority and 2 Others (3 of 2022) [2022] ZWMSVHC 3 (2 February 2022) Copy.docx,law_report_draft,High Court,HMA 03-22,,0,9b14916344a30c16b7509be63ceaf159d5e63d3b9fc171735e264ad6d4248b00,f7df58a1e31707537546e1c4954a0d07dc59da214f8ed195e6d66a483a797de0,True
388,zimlex-2022-e401fc9107ce467897d7,S v Muburirwa (4 of 2022) [2022] ZWMSVHC 4 (21 January 2022) Copy.docx,law_report_draft,High Court,HMA 04-22,,0,cdb4da9a1646a1929555f96c19fd9683f8a8f47cef755d4332653c82fedd76d9,a137496c4ed4f95181617f62891d6ea7e85144b614177cfe616d6dcd5e07600e,True
389,zimlex-2022-42332781fc970e3b54e7,MAROWA~1.DOC,law_report_draft,High Court,HMA 05-22,,0,b805e29e46eab1cca0983320a48545e185648f8d37724cf2fff803af0b92fcef,69127edf19445289f6f7d8f64153bf4ca851363932ca51c91fafeb23f5d238d8,True
390,zimlex-2022-d6d23c10902d351298b9,S v Gudye (6 of 2022) [2022] ZWMSVHC 6 (3 February 2022) Copy.docx,law_report_draft,High Court,HMA 06-22,,0,aba6282bd698593a78ba9d78da96fbc800d17a92a2ddff0f12f79cf5f8b0d564,3be2c3c4944602abb8d354a787a9102e1f5a7281c26788ab0332cdbb2c9e311a,True
391,zimlex-2022-410724c5fbb0070c59fc,S v S.M and Another (9 of 2022) [2022] ZWMSVHC 9 (8 February 2022) Copy.docx,law_report_draft,High Court,HMA 09-22,,0,f8d9b8a803f582f934fd4635db8e912c20a673687200fd6dff40d1186ca2bb2b,666aac03c934c31bc657e894bb59f62f9a89e4a67aa86fc57bcebb8c2bc2d6f8,True
392,zimlex-2022-71b85e5fdc2b1e02cf85,CURCUM~1.DOC,law_report_draft,High Court,HMA 11-22,,0,a83784d786cf9ac08ca411eff73a5ff99fb17ebb89dfb014a877dcf854476833,aa3f34cfe0b27ada9c51c5be55972368d55bd78f8f1035d495ee9e910203c2ae,True
393,zimlex-2022-5346fa45a02e3467425e,S v Mazhambe (12 of 2022) [2022] ZWMSVHC 12 (11 February 2022) Copy(1).docx,law_report_draft,High Court,HMA 12-22,,0,6aac26cb4ee7989c064972271433afcbe4ef2916803bc307fead01e030100a2a,fcba4a95b072926563edc0009af71db161f22caf6d7ddf280d036a66aa86aed8,True
394,zimlex-2022-c9eb1a7d073fd9dc84b3,S v Kuodza (15 of 2022) [2022] ZWMSVHC 15 (22 February 2022) Copy.docx,law_report_draft,High Court,HMA 15-22,,0,228ca540e65934e815a7b343ccc64054d0d6a95aacd39579519e717f2f4cc1c0,7bee55ca45d48c3f3a07eea65ac945cf40bcb30d88c4b0070bd0e696bb1b9938,True
395,zimlex-2022-8db6ee62d0236f3e8d23,Musindo and Another v Kereke (Nee Muroiwa) (32 of 2022) [2022] ZWMSVHC 32 (8 June 2022) Copy.docx,law_report_draft,High Court,HMA 32-22,,0,fb64d0408bf3d5b1da145aa8470c70c44de583c78c5dd3a32effefa2f397656d,925116a17d99a70d280eaee7e39e61f7d40f21b17427de6c6c55d1dff00ce176,True
396,zimlex-2022-db1a99c746bd693bf26e,S v Shlambela (57 of 2022) [2022] ZWMSVHC 57 (21 July 2022) Copy.docx,law_report_draft,High Court,HMA 57-22,,0,3b409e75b0c6d6e27d3d8a546688a77829d5eb65cf5b05f6cc697d55c16a7533,08f52c278a074865a1346bf48ee0fb06f8cfa9991cd8c3cb6be32d7d51907728,True
