dataset_row_number,record_id,document_name,record_type,court_family,judgment_number,actions,substantive_action_count,old_record_sha256,new_record_sha256,hash_refreshed
260,zimlex-2022-942951195c651dfbed3d,Zemqos Incorporated (Pvt) Ltd v City Parking (Pvt) Ltd (725 of 2022) [2022] ZWHHC 725 (19 October 2022) Copy.docx,law_report_draft,High Court,HH 725/22,,0,1b9789f434a4245a2e7b4e8d8d707d9f6473d45bd47a2815865961a4782c57d5,e83770d77cac459a1872049f07dfe897e6f69dcec69392b539725f4d142fdcee,True
261,zimlex-2022-4ec1774aaa37f81a0d42,Jume v Yule and Another (726 of 2022) [2022] ZWHHC 763 (18 October 2022) Copy.docx,law_report_draft,High Court,HH 726-22,,0,e6c90cf9b0660650d3a160f82ce8ad556dbd44dc49b68cfbdcfee5134b94c75f,7dbbdaa6435e13cb5589b1ee7428c6d1e2c158350da1067e82ea1a077bdf1c3f,True
262,zimlex-2022-a32bbb1abfabf0f243a1,Gondo v Nhowe (727 of 2022) [2022] ZWHHC 727 (19 October 2022) Copy.docx,law_report_draft,High Court,HH 727-22,,0,833b7792f91b1f342eac1080d0e829464b2d90587762a5a2a543cf9a63531f3c,fdbc2c6019fed929a985167bedffad3d7bfb565d16d195f9c609ee072bcebfc1,True
263,zimlex-2022-84f332379bee42d212be,BAISHU~1.DOC,law_report_draft,High Court,HH 728/22,,0,e7fd689eed947ad9dbf0045b563235dc6d9d19df681533d8664c508bcd2980bc,f8078336e156d1d6fdc06b8fe4e5e5c92e71f2d873eb60c8b8c04e48da2ff09f,True
264,zimlex-2022-01a218f170bb6dc4947b,UNKIMI~1.DOC,law_report_draft,High Court,HH 729-22,,0,7d41bf56923973e7c28cddf88bace0adafb3030f674535ee828f47dbc84d4fcd,4cbc73ab0b65c43368320d8e1a55ceae2645dc19b1951a93c7fdc484a0cf569a,True
265,zimlex-2022-846c318cc0557c376296,TAKAWI~1(1).DOC,law_report_draft,High Court,HH 730-22,,0,ce28ec1dd1335758577059787e7d619597de833848b6ba86595cf2ea8a155f76,71ac38e632043292f9a70596977d0a98e223a040dccc2074a47ece62bb73230a,True
266,zimlex-2022-dfef973074d8126b34ec,Chisango v Chisango and Another (732 of 2022) [2022] ZWHHC 732 (19 October 2022) Copy.docx,law_report_draft,High Court,HH 732-22,,0,aaa8e10840cdfe28fa3780d248f0c85929e1cae1a2b50c99b0248687aa993a27,d05b063290dad47cbf8e78ea72be3cee9868a070f4404e88dcb6240d398df006,True
267,zimlex-2022-a7ba5b1ce53c20f78186,Watermount Estates Private Limited v Gumbo and 2 Others (733 of 2022) [2022] ZWHHC 733 (22 September 2022) Copy.docx,law_report_draft,High Court,HH 733-22,,0,17c7eccf217f51ed8f35c69ff7d9a00f3086b605a087b61a8757a79fd630c3cc,41968ed4d0235c1fa2c219182dd2fc6b6bbd95830d97a5a3d6f884dd36a02843,True
268,zimlex-2022-8894ab4d9fb1b91e6b6b,Kewada N.O v United Harvest (Pvt) Ltd and Another (734 of 2022) [2022] ZWHHC 734 (13 September 2022) Copy.docx,law_report_draft,High Court,HH 734/22,,0,a5449fb51723d95f8209841ae8b75d46fe6fb9448ed2750e37b099bb125f5f20,cc1fbd6153a9f7832cc9bccc8b7a092cf34aa7815c5434540cee5a2eba4fe336,True
269,zimlex-2022-a0fe5d734b606d2affaa,Petromocexor (Private) Limted v Energy Park (Pvt) Ltd and 4 Others (735 of 2022) [2022] ZWHHC 735 (21 October 2022) Copy.docx,law_report_draft,High Court,HH 735-22,,0,9ec3dad86fb694a494760befbcf31012c0c72814635cdc1c0a1ef8810b07d4ac,6e82ae8f6871c91afebc0a6c9236e5d2a4229f99fd88b26ffbfd21c1cbd2c286,True
